FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,FLIGHT_STATUS,YEAR,MONTH,year,month,DEP_TIME_MINUTES,WHEELS_OFF_MINUTES,ARR_TIME_MINUTES,WHEELS_ON_MINUTES,WHEELS_OFF_elapse,WHEELS_ON_elapse,Year,Quarter,Month,DayofMonth
2021-06-21,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3841,OAK,"Oakland, CA",LAX,"Los Angeles, CA",10:35:00,10:48:00,13.0,12.0,11:00:00,12:00:00,5.0,1200,12:05:00,5.0,0.0,0.0,85.0,77.0,60.0,337.0,0,2021,6,2021,6,648,660,725,720,12,5,2021,2,6,21
2021-11-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5580,SMF,"Sacramento, CA",LAX,"Los Angeles, CA",13:40:00,13:45:00,5.0,7.0,13:52:00,14:46:00,5.0,1510,14:51:00,-19.0,0.0,0.0,90.0,66.0,54.0,373.0,0,2021,11,2021,11,825,832,891,886,7,5,2021,4,11,9
2019-10-30,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5312,CHO,"Charlottesville, VA",ATL,"Atlanta, GA",15:19:00,15:13:00,-6.0,52.0,16:05:00,17:30:00,9.0,1703,17:39:00,36.0,0.0,0.0,104.0,146.0,85.0,457.0,1,2019,10,2019,10,913,965,1059,1050,52,9,2019,4,10,30
2021-12-12,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,563,SNA,"Santa Ana, CA",ORD,"Chicago, IL",11:04:00,11:25:00,21.0,24.0,11:49:00,17:12:00,9.0,1705,17:21:00,16.0,0.0,0.0,241.0,236.0,203.0,1726.0,1,2021,12,2021,12,685,709,1041,1032,24,9,2021,4,12,12
2022-06-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2195,SLC,"Salt Lake City, UT",DFW,"Dallas/Fort Worth, TX",08:00:00,07:56:00,-4.0,13.0,08:09:00,11:13:00,12.0,1138,11:25:00,-13.0,0.0,0.0,158.0,149.0,124.0,989.0,0,2022,6,2022,6,476,489,685,673,13,12,2022,2,6,10
2023-08-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5457,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",10:34:00,10:27:00,-7.0,20.0,10:47:00,11:46:00,12.0,1205,11:58:00,-7.0,0.0,0.0,91.0,91.0,59.0,370.0,0,2023,8,2023,8,627,647,718,706,20,12,2023,3,8,22
2020-03-23,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5158,PRC,"Prescott, AZ",DEN,"Denver, CO",06:00:00,05:44:00,-16.0,22.0,06:06:00,08:18:00,8.0,851,08:26:00,-25.0,0.0,0.0,111.0,102.0,72.0,557.0,0,2020,3,2020,3,344,366,506,498,22,8,2020,1,3,23
2019-02-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1794,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",17:52:00,18:15:00,23.0,41.0,18:56:00,19:39:00,14.0,1905,19:53:00,48.0,0.0,0.0,73.0,98.0,43.0,130.0,1,2019,2,2019,2,1095,1136,1193,1179,41,14,2019,1,2,19
2020-01-18,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2099,SDF,"Louisville, KY",ATL,"Atlanta, GA",06:00:00,05:58:00,-2.0,9.0,06:07:00,07:04:00,7.0,724,07:11:00,-13.0,0.0,0.0,84.0,73.0,57.0,321.0,0,2020,1,2020,1,358,367,431,424,9,7,2020,1,1,18
2023-06-29,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3075,IAH,"Houston, TX",DEN,"Denver, CO",13:15:00,13:11:00,-4.0,11.0,13:22:00,14:24:00,8.0,1440,14:32:00,-8.0,0.0,0.0,145.0,141.0,122.0,862.0,0,2023,6,2023,6,791,802,872,864,11,8,2023,2,6,29
2019-02-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2316,CLT,"Charlotte, NC",ATL,"Atlanta, GA",13:17:00,18:06:00,289.0,12.0,18:18:00,19:11:00,9.0,1438,19:20:00,282.0,0.0,0.0,81.0,74.0,53.0,226.0,1,2019,2,2019,2,1086,1098,1160,1151,12,9,2019,1,2,11
2021-02-18,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3395,HOU,"Houston, TX",DEN,"Denver, CO",07:00:00,06:58:00,-2.0,9.0,07:07:00,08:05:00,4.0,835,08:09:00,-26.0,0.0,0.0,155.0,131.0,118.0,883.0,0,2021,2,2021,2,418,427,489,485,9,4,2021,1,2,18
2020-12-28,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2602,CLT,"Charlotte, NC",DFW,"Dallas/Fort Worth, TX",20:11:00,20:07:00,-4.0,8.0,20:15:00,21:42:00,8.0,2211,21:50:00,-21.0,0.0,0.0,180.0,163.0,147.0,936.0,0,2020,12,2020,12,1207,1215,1310,1302,8,8,2020,4,12,28
2019-06-02,Envoy Air,Envoy Air: MQ,MQ,20398,4102,FNT,"Flint, MI",ORD,"Chicago, IL",14:14:00,14:12:00,-2.0,13.0,14:25:00,14:28:00,12.0,1432,14:40:00,8.0,0.0,0.0,78.0,88.0,63.0,223.0,0,2019,6,2019,6,852,865,880,868,13,12,2019,2,6,2
2022-06-14,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5953,ABQ,"Albuquerque, NM",DEN,"Denver, CO",18:04:00,17:54:00,-10.0,24.0,18:18:00,19:13:00,14.0,1939,19:27:00,-12.0,0.0,0.0,95.0,93.0,55.0,349.0,0,2022,6,2022,6,1074,1098,1167,1153,24,14,2022,2,6,14
2021-04-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2544,MCO,"Orlando, FL",CLT,"Charlotte, NC",15:42:00,16:09:00,27.0,15.0,16:24:00,17:35:00,6.0,1735,17:41:00,6.0,0.0,0.0,113.0,92.0,71.0,468.0,0,2021,4,2021,4,969,984,1061,1055,15,6,2021,2,4,20
2022-04-07,Envoy Air,Envoy Air: MQ,MQ,20398,3794,LIT,"Little Rock, AR",DFW,"Dallas/Fort Worth, TX",06:20:00,06:19:00,-1.0,26.0,06:45:00,07:54:00,7.0,750,08:01:00,11.0,0.0,0.0,90.0,102.0,69.0,304.0,1,2022,4,2022,4,379,405,481,474,26,7,2022,2,4,7
2023-08-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1477,ATL,"Atlanta, GA",ORD,"Chicago, IL",12:55:00,13:02:00,7.0,13.0,13:15:00,13:48:00,13.0,1400,14:01:00,1.0,0.0,0.0,125.0,119.0,93.0,606.0,0,2023,8,2023,8,782,795,841,828,13,13,2023,3,8,21
2020-02-11,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2032,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",13:00:00,13:21:00,21.0,13.0,13:34:00,16:31:00,8.0,1605,16:39:00,34.0,0.0,0.0,245.0,258.0,237.0,1372.0,1,2020,2,2020,2,801,814,999,991,13,8,2020,1,2,11
2019-04-16,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2744,ORD,"Chicago, IL",LAX,"Los Angeles, CA",12:05:00,12:03:00,-2.0,21.0,12:24:00,14:23:00,4.0,1434,14:27:00,-7.0,0.0,0.0,269.0,264.0,239.0,1744.0,0,2019,4,2019,4,723,744,867,863,21,4,2019,2,4,16
2023-04-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1531,CHS,"Charleston, SC",CLT,"Charlotte, NC",10:55:00,10:49:00,-6.0,15.0,11:04:00,11:38:00,4.0,1201,11:42:00,-19.0,0.0,0.0,66.0,53.0,34.0,168.0,0,2023,4,2023,4,649,664,702,698,15,4,2023,2,4,23
2021-08-18,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1410,STL,"St. Louis, MO",DFW,"Dallas/Fort Worth, TX",07:31:00,07:54:00,23.0,23.0,08:17:00,09:48:00,7.0,930,09:55:00,25.0,0.0,0.0,119.0,121.0,91.0,550.0,1,2021,8,2021,8,474,497,595,588,23,7,2021,3,8,18
2019-01-29,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5418,MCI,"Kansas City, MO",ORD,"Chicago, IL",18:33:00,18:23:00,-10.0,21.0,18:44:00,19:50:00,48.0,2010,20:38:00,28.0,0.0,0.0,97.0,135.0,66.0,403.0,1,2019,1,2019,1,1103,1124,1238,1190,21,48,2019,1,1,29
2021-06-27,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,739,EWR,"Newark, NJ",ORD,"Chicago, IL",08:00:00,07:59:00,-1.0,17.0,08:16:00,08:56:00,13.0,921,09:09:00,-12.0,0.0,0.0,141.0,130.0,100.0,719.0,0,2021,6,2021,6,479,496,549,536,17,13,2021,2,6,27
2022-08-08,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,333,BOS,"Boston, MA",LAX,"Los Angeles, CA",18:13:00,18:29:00,16.0,16.0,18:45:00,21:17:00,6.0,2128,21:23:00,-5.0,0.0,0.0,375.0,354.0,332.0,2611.0,0,2022,8,2022,8,1109,1125,1283,1277,16,6,2022,3,8,8
2023-02-23,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5336,PVD,"Providence, RI",CLT,"Charlotte, NC",11:38:00,11:26:00,-12.0,11.0,11:37:00,13:29:00,18.0,1400,13:47:00,-13.0,0.0,0.0,142.0,141.0,112.0,683.0,0,2023,2,2023,2,686,697,827,809,11,18,2023,1,2,23
2021-09-04,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1464,OMA,"Omaha, NE",ATL,"Atlanta, GA",05:23:00,05:46:00,23.0,11.0,05:57:00,08:38:00,11.0,838,08:49:00,11.0,0.0,0.0,135.0,123.0,101.0,821.0,1,2021,9,2021,9,346,357,529,518,11,11,2021,3,9,4
2020-09-03,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2822,IND,"Indianapolis, IN",ORD,"Chicago, IL",07:30:00,07:25:00,-5.0,12.0,07:37:00,07:18:00,6.0,734,07:24:00,-10.0,0.0,0.0,64.0,59.0,41.0,177.0,0,2020,9,2020,9,445,457,444,438,12,6,2020,3,9,3
2020-01-09,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2811,DCA,"Washington, DC",ATL,"Atlanta, GA",18:59:00,18:59:00,0.0,16.0,19:15:00,20:44:00,7.0,2059,20:51:00,-8.0,0.0,0.0,120.0,112.0,89.0,547.0,0,2020,1,2020,1,1139,1155,1251,1244,16,7,2020,1,1,9
2022-08-03,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,798,DCA,"Washington, DC",CLT,"Charlotte, NC",08:48:00,08:43:00,-5.0,34.0,09:17:00,10:12:00,4.0,1025,10:16:00,-9.0,0.0,0.0,97.0,93.0,55.0,331.0,0,2022,8,2022,8,523,557,616,612,34,4,2022,3,8,3
2020-07-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2477,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",09:30:00,09:24:00,-6.0,13.0,09:37:00,14:47:00,14.0,1518,15:01:00,-17.0,0.0,0.0,228.0,217.0,190.0,1660.0,0,2020,7,2020,7,564,577,901,887,13,14,2020,3,7,10
2021-11-02,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1342,JAN,"Jackson/Vicksburg, MS",ATL,"Atlanta, GA",15:31:00,15:55:00,24.0,10.0,16:05:00,17:56:00,6.0,1752,18:02:00,10.0,0.0,0.0,81.0,67.0,51.0,341.0,0,2021,11,2021,11,955,965,1082,1076,10,6,2021,4,11,2
2021-03-01,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,552,SAN,"San Diego, CA",DEN,"Denver, CO",12:20:00,12:11:00,-9.0,16.0,12:27:00,15:24:00,10.0,1548,15:34:00,-14.0,0.0,0.0,148.0,143.0,117.0,853.0,0,2021,3,2021,3,731,747,934,924,16,10,2021,1,3,1
2019-01-23,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3987,PIA,"Peoria, IL",ATL,"Atlanta, GA",16:23:00,17:00:00,37.0,8.0,17:08:00,19:43:00,10.0,1913,19:53:00,40.0,0.0,0.0,110.0,113.0,95.0,565.0,1,2019,1,2019,1,1020,1028,1193,1183,8,10,2019,1,1,23
2023-05-15,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1023,LAX,"Los Angeles, CA",ORD,"Chicago, IL",15:15:00,15:14:00,-1.0,14.0,15:28:00,20:55:00,9.0,2118,21:04:00,-14.0,0.0,0.0,243.0,230.0,207.0,1744.0,0,2023,5,2023,5,914,928,1264,1255,14,9,2023,2,5,15
2022-11-09,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,769,BDL,"Hartford, CT",ORD,"Chicago, IL",06:05:00,06:00:00,-5.0,13.0,06:13:00,07:10:00,23.0,748,07:33:00,-15.0,0.0,0.0,163.0,153.0,117.0,783.0,0,2022,11,2022,11,360,373,453,430,13,23,2022,4,11,9
2020-02-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1679,MSP,"Minneapolis, MN",LAX,"Los Angeles, CA",08:41:00,08:37:00,-4.0,31.0,09:08:00,10:16:00,7.0,1055,10:23:00,-32.0,0.0,0.0,254.0,226.0,188.0,1535.0,0,2020,2,2020,2,517,548,623,616,31,7,2020,1,2,11
2021-07-02,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1466,ORD,"Chicago, IL",ATL,"Atlanta, GA",16:56:00,16:53:00,-3.0,15.0,17:08:00,19:29:00,8.0,1959,19:37:00,-22.0,0.0,0.0,123.0,104.0,81.0,606.0,0,2021,7,2021,7,1013,1028,1177,1169,15,8,2021,3,7,2
2019-08-29,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1914,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",15:13:00,17:13:00,120.0,23.0,17:36:00,18:16:00,5.0,1634,18:21:00,107.0,0.0,0.0,81.0,68.0,40.0,236.0,1,2019,8,2019,8,1033,1056,1101,1096,23,5,2019,3,8,29
2022-06-18,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2412,SMF,"Sacramento, CA",DEN,"Denver, CO",14:31:00,15:00:00,29.0,12.0,15:12:00,18:08:00,16.0,1753,18:24:00,31.0,0.0,0.0,142.0,144.0,116.0,909.0,1,2022,6,2022,6,900,912,1104,1088,12,16,2022,2,6,18
2021-06-14,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3097,CVG,"Cincinnati, OH",ORD,"Chicago, IL",12:20:00,12:13:00,-7.0,16.0,12:29:00,12:25:00,19.0,1252,12:44:00,-8.0,0.0,0.0,92.0,91.0,56.0,264.0,0,2021,6,2021,6,733,749,764,745,16,19,2021,2,6,14
2020-01-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1876,RIC,"Richmond, VA",CLT,"Charlotte, NC",13:52:00,13:54:00,2.0,16.0,14:10:00,15:07:00,12.0,1518,15:19:00,1.0,0.0,0.0,86.0,85.0,57.0,257.0,0,2020,1,2020,1,834,850,919,907,16,12,2020,1,1,23
2021-10-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1284,COS,"Colorado Springs, CO",DFW,"Dallas/Fort Worth, TX",16:51:00,16:49:00,-2.0,16.0,17:05:00,19:25:00,18.0,1954,19:43:00,-11.0,0.0,0.0,123.0,114.0,80.0,592.0,0,2021,10,2021,10,1009,1025,1183,1165,16,18,2021,4,10,20
2021-09-07,Envoy Air,Envoy Air: MQ,MQ,20398,3672,SJT,"San Angelo, TX",DFW,"Dallas/Fort Worth, TX",16:28:00,16:19:00,-9.0,11.0,16:30:00,17:11:00,9.0,1736,17:20:00,-16.0,0.0,0.0,68.0,61.0,41.0,229.0,0,2021,9,2021,9,979,990,1040,1031,11,9,2021,3,9,7
2020-10-22,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1359,JAX,"Jacksonville, FL",ATL,"Atlanta, GA",10:00:00,09:53:00,-7.0,12.0,10:05:00,10:50:00,8.0,1113,10:58:00,-15.0,0.0,0.0,73.0,65.0,45.0,270.0,0,2020,10,2020,10,593,605,658,650,12,8,2020,4,10,22
2019-12-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1320,BOS,"Boston, MA",CLT,"Charlotte, NC",14:39:00,14:37:00,-2.0,16.0,14:53:00,17:11:00,8.0,1714,17:19:00,5.0,0.0,0.0,155.0,162.0,138.0,728.0,0,2019,12,2019,12,877,893,1039,1031,16,8,2019,4,12,10
2023-03-15,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4869,OKC,"Oklahoma City, OK",LAX,"Los Angeles, CA",12:55:00,13:50:00,55.0,12.0,14:02:00,14:55:00,8.0,1415,15:03:00,48.0,0.0,0.0,200.0,193.0,173.0,1187.0,1,2023,3,2023,3,830,842,903,895,12,8,2023,1,3,15
2023-04-12,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,712,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",06:42:00,06:40:00,-2.0,17.0,06:57:00,07:49:00,7.0,840,07:56:00,-44.0,0.0,0.0,298.0,256.0,232.0,1947.0,0,2023,4,2023,4,400,417,476,469,17,7,2023,2,4,12
2021-04-05,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5199,CMH,"Columbus, OH",CLT,"Charlotte, NC",17:29:00,17:21:00,-8.0,9.0,17:30:00,18:26:00,16.0,1907,18:42:00,-25.0,0.0,0.0,98.0,81.0,56.0,347.0,0,2021,4,2021,4,1041,1050,1122,1106,9,16,2021,2,4,5
2020-10-17,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5813,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",12:36:00,12:28:00,-8.0,9.0,12:37:00,13:52:00,17.0,1411,14:09:00,-2.0,0.0,0.0,95.0,101.0,75.0,469.0,0,2020,10,2020,10,748,757,849,832,9,17,2020,4,10,17
2019-03-15,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2314,BDL,"Hartford, CT",ATL,"Atlanta, GA",19:09:00,19:02:00,-7.0,9.0,19:11:00,21:38:00,8.0,2145,21:46:00,1.0,0.0,0.0,156.0,164.0,147.0,859.0,0,2019,3,2019,3,1142,1151,1306,1298,9,8,2019,1,3,15
2021-11-30,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,516,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",09:59:00,10:04:00,5.0,23.0,10:27:00,11:57:00,6.0,1157,12:03:00,6.0,0.0,0.0,298.0,299.0,270.0,1947.0,0,2021,11,2021,11,604,627,723,717,23,6,2021,4,11,30
2020-01-04,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,382,SAN,"San Diego, CA",DEN,"Denver, CO",18:04:00,18:04:00,0.0,17.0,18:21:00,21:04:00,5.0,2124,21:09:00,-15.0,0.0,0.0,140.0,125.0,103.0,853.0,0,2020,1,2020,1,1084,1101,1269,1264,17,5,2020,1,1,4
2021-11-05,JetBlue Airways,JetBlue Airways: B6,B6,20409,1573,EWR,"Newark, NJ",LAX,"Los Angeles, CA",19:15:00,19:34:00,19.0,46.0,20:20:00,22:33:00,6.0,2232,22:39:00,7.0,0.0,0.0,377.0,365.0,313.0,2454.0,0,2021,11,2021,11,1174,1220,1359,1353,46,6,2021,4,11,5
2022-11-18,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5245,TUL,"Tulsa, OK",ORD,"Chicago, IL",18:24:00,18:47:00,23.0,20.0,19:07:00,20:32:00,15.0,2027,20:47:00,20.0,0.0,0.0,123.0,120.0,85.0,585.0,1,2022,11,2022,11,1127,1147,1247,1232,20,15,2022,4,11,18
2021-08-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3692,LAX,"Los Angeles, CA",DEN,"Denver, CO",14:40:00,14:46:00,6.0,10.0,14:56:00,17:45:00,21.0,1803,18:06:00,3.0,0.0,0.0,143.0,140.0,109.0,862.0,0,2021,8,2021,8,886,896,1086,1065,10,21,2021,3,8,22
2022-11-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,996,PHX,"Phoenix, AZ",DEN,"Denver, CO",21:15:00,22:10:00,55.0,16.0,22:26:00,00:40:00,7.0,2355,00:47:00,52.0,0.0,0.0,100.0,97.0,74.0,602.0,1,2022,11,2022,11,1330,1346,47,40,16,7,2022,4,11,3
2021-10-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,532,DEN,"Denver, CO",ORD,"Chicago, IL",06:00:00,06:08:00,8.0,12.0,06:20:00,09:07:00,12.0,927,09:19:00,-8.0,0.0,0.0,147.0,131.0,107.0,888.0,0,2021,10,2021,10,368,380,559,547,12,12,2021,4,10,23
2021-05-02,Envoy Air,Envoy Air: MQ,MQ,20398,3534,LCH,"Lake Charles, LA",DFW,"Dallas/Fort Worth, TX",06:05:00,05:59:00,-6.0,20.0,06:19:00,07:22:00,9.0,736,07:31:00,-5.0,0.0,0.0,91.0,92.0,63.0,295.0,0,2021,5,2021,5,359,379,451,442,20,9,2021,2,5,2
2019-09-13,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4125,GSP,"Greer, SC",ORD,"Chicago, IL",10:50:00,11:38:00,48.0,31.0,12:09:00,12:46:00,14.0,1200,13:00:00,60.0,0.0,0.0,130.0,142.0,97.0,577.0,1,2019,9,2019,9,698,729,780,766,31,14,2019,3,9,13
2022-09-16,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4111,ROA,"Roanoke, VA",ATL,"Atlanta, GA",17:28:00,17:23:00,-5.0,11.0,17:34:00,18:32:00,5.0,1901,18:37:00,-24.0,0.0,0.0,93.0,74.0,58.0,357.0,0,2022,9,2022,9,1043,1054,1117,1112,11,5,2022,3,9,16
2021-11-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4653,BZN,"Bozeman, MT",ORD,"Chicago, IL",12:10:00,12:00:00,-10.0,16.0,12:16:00,15:45:00,17.0,1614,16:02:00,-12.0,0.0,0.0,184.0,182.0,149.0,1186.0,0,2021,11,2021,11,720,736,962,945,16,17,2021,4,11,12
2020-01-16,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,679,SAN,"San Diego, CA",DFW,"Dallas/Fort Worth, TX",12:35:00,12:31:00,-4.0,35.0,13:06:00,17:34:00,8.0,1729,17:42:00,13.0,0.0,0.0,174.0,191.0,148.0,1171.0,1,2020,1,2020,1,751,786,1062,1054,35,8,2020,1,1,16
